,Email,Age,Education,Marital-status,Gender,Income
56,RodneyWilliams@gmail.com,63,HS-grad,Married-civ-spouse,Male,<=50k
57,JoshuaHu@gmail.com,34,Bachelors,Married-civ-spouse,Male,>50k
58,JamesCarino@gmail.com,42,HS-grad,Married-civ-spouse,Male,>50k
59,JosephAnderson@gmail.com,33,HS-grad,Married-civ-spouse,Male,<=50k
60,DorisDartt@gmail.com,30,Bachelors,Never-married,Female,<=50k
61,JohnWicks@gmail.com,39,Some-college,Divorced,Male,<=50k
62,CaroleBadanguio@gmail.com,26,Masters,Never-married,Female,<=50k
63,RachelBatten@gmail.com,33,HS-grad,Never-married,Female,<=50k
64,BerniceFitzpatrick@gmail.com,47,HS-grad,Divorced,Female,<=50k
66,PeteDutton@gmail.com,41,Assoc-acdm,Married-civ-spouse,Male,>50k
67,FrankOwnby@gmail.com,19,Some-college,Never-married,Male,<=50k
68,MikeStarr@gmail.com,46,HS-grad,Separated,Male,<=50k
69,DavidHarris@gmail.com,43,HS-grad,Married-civ-spouse,Male,<=50k
70,HowardAustin@gmail.com,55,Some-college,Married-civ-spouse,Male,>50k
71,MichaelKim@gmail.com,46,Assoc-voc,Married-civ-spouse,Male,<=50k
72,ChristopherDouglas@gmail.com,30,HS-grad,Married-civ-spouse,Male,<=50k
73,BriannaRead@gmail.com,21,Some-college,Separated,Female,<=50k
74,DavidLeon@gmail.com,46,Some-college,Married-civ-spouse,Male,<=50k
76,AlbertJohnson@gmail.com,41,HS-grad,Married-civ-spouse,Male,<=50k
77,DavidCampbell@gmail.com,69,HS-grad,Married-civ-spouse,Male,<=50k
78,LincolnAllen@gmail.com,50,HS-grad,Married-civ-spouse,Male,<=50k
79,AshleyWilliams@gmail.com,20,Some-college,Never-married,Female,<=50k
80,LeeScott@gmail.com,45,Some-college,Married-civ-spouse,Male,<=50k
81,ScottBodnar@gmail.com,23,Bachelors,Never-married,Male,<=50k
82,JimmyJacobson@gmail.com,24,Some-college,Separated,Male,<=50k
84,AndreMarkrof@gmail.com,31,Some-college,Married-civ-spouse,Male,<=50k
85,AngelBridges@gmail.com,43,HS-grad,Separated,Female,<=50k
86,TammyMurphy@gmail.com,20,11th,Never-married,Female,<=50k
87,HectorRosado@gmail.com,55,HS-grad,Married-civ-spouse,Male,>50k
88,JohnDahl@gmail.com,24,Some-college,Never-married,Male,<=50k
90,JaniceMorgan@gmail.com,59,Bachelors,Never-married,Female,<=50k
91,RandallReinoso@gmail.com,49,7th-8th,Never-married,Male,<=50k
92,EdithRives@gmail.com,33,Masters,Married-civ-spouse,Female,>50k
93,RonaldDavis@gmail.com,59,Bachelors,Divorced,Male,<=50k
94,NicholasParkison@gmail.com,34,Masters,Never-married,Male,<=50k
95,RussellDirks@gmail.com,20,HS-grad,Never-married,Male,<=50k
96,VirginiaMenzies@gmail.com,25,Bachelors,Never-married,Female,<=50k
97,CarlAdkins@gmail.com,49,10th,Married-civ-spouse,Male,<=50k
98,PatrickBaker@gmail.com,59,HS-grad,Married-civ-spouse,Male,>50k
99,MarthaKapinos@gmail.com,20,HS-grad,Never-married,Female,<=50k
101,PatriciaKimball@gmail.com,33,Some-college,Never-married,Female,<=50k
102,RobertJunkin@gmail.com,22,Some-college,Never-married,Male,<=50k
103,BethWashington@gmail.com,58,9th,Widowed,Female,<=50k
104,YvonneDean@gmail.com,52,HS-grad,Widowed,Female,<=50k
105,MandiJones@gmail.com,36,10th,Separated,Female,<=50k
106,EdwardMarlett@gmail.com,41,HS-grad,Married-civ-spouse,Male,<=50k
107,StephenKilbourn@gmail.com,28,HS-grad,Never-married,Male,<=50k
108,JuliusMartinez@gmail.com,19,Some-college,Never-married,Male,<=50k
109,MariaJones@gmail.com,18,HS-grad,Never-married,Female,<=50k
110,AnnetteMiller@gmail.com,18,HS-grad,Never-married,Female,<=50k
111,JamesMiller@gmail.com,28,Some-college,Married-civ-spouse,Male,<=50k
112,JonCrosby@gmail.com,29,Assoc-voc,Married-civ-spouse,Male,>50k
114,JerryCrawford@gmail.com,40,Some-college,Married-civ-spouse,Male,<=50k
115,JuniorCortes@gmail.com,26,HS-grad,Never-married,Male,<=50k
116,DeanDiez@gmail.com,46,HS-grad,Married-civ-spouse,Male,<=50k
117,LindaBell@gmail.com,23,11th,Never-married,Female,<=50k
118,SandraMroz@gmail.com,44,HS-grad,Married-spouse-absent,Female,<=50k
119,WynonaKing@gmail.com,43,Bachelors,Divorced,Female,>50k
120,LeaSevers@gmail.com,31,Bachelors,Divorced,Female,<=50k
121,MaryBubrig@gmail.com,18,Some-college,Never-married,Female,<=50k
122,JohnMessier@gmail.com,19,Some-college,Never-married,Male,<=50k
123,DanaRhymer@gmail.com,41,Some-college,Divorced,Female,<=50k
124,AliceRoberts@gmail.com,41,HS-grad,Divorced,Female,<=50k
125,YolandaEspino@gmail.com,69,HS-grad,Divorced,Female,<=50k
126,ElizabethSalcido@gmail.com,48,Doctorate,Married-civ-spouse,Female,>50k
127,JordanShepherd@gmail.com,28,HS-grad,Never-married,Male,<=50k
128,AndrewRubio@gmail.com,27,HS-grad,Married-civ-spouse,Male,>50k
129,ScottBeal@gmail.com,41,Masters,Married-civ-spouse,Male,>50k
130,JustinRicks@gmail.com,41,Some-college,Married-civ-spouse,Male,<=50k
131,KarenPowell@gmail.com,24,HS-grad,Never-married,Female,<=50k
133,StevenFlatter@gmail.com,42,Doctorate,Married-civ-spouse,Male,>50k
134,RobertPoling@gmail.com,57,HS-grad,Married-civ-spouse,Male,<=50k
135,LashonStrauser@gmail.com,30,Assoc-acdm,Never-married,Female,<=50k
136,AnthonyYeiser@gmail.com,36,HS-grad,Married-civ-spouse,Male,>50k
137,MarkOshea@gmail.com,49,7th-8th,Married-civ-spouse,Male,<=50k
138,AngelaBruce@gmail.com,33,HS-grad,Married-civ-spouse,Female,<=50k
139,AndrewHinkle@gmail.com,23,10th,Married-civ-spouse,Male,<=50k
140,PatrickChoate@gmail.com,46,Masters,Married-civ-spouse,Male,<=50k
141,NancyWu@gmail.com,18,Some-college,Never-married,Female,<=50k
142,BradfordScarlato@gmail.com,40,HS-grad,Married-civ-spouse,Male,>50k
143,GabrielHuff@gmail.com,43,HS-grad,Married-civ-spouse,Male,>50k
144,BerthaMclaughlin@gmail.com,34,Masters,Never-married,Female,<=50k
145,CheriLewis@gmail.com,47,HS-grad,Widowed,Female,<=50k
146,LynnFlanders@gmail.com,44,Assoc-voc,Widowed,Female,<=50k
147,GregoryHaley@gmail.com,33,HS-grad,Married-civ-spouse,Male,>50k
148,CharlesJones@gmail.com,55,Bachelors,Married-civ-spouse,Male,>50k
149,WilliamCahill@gmail.com,19,HS-grad,Never-married,Male,<=50k
150,JerryLaur@gmail.com,28,Some-college,Never-married,Male,<=50k
151,GracieWaggoner@gmail.com,27,11th,Married-civ-spouse,Female,<=50k
152,SamuelFrisbie@gmail.com,50,7th-8th,Married-civ-spouse,Male,<=50k
153,DavidCastle@gmail.com,22,11th,Never-married,Male,<=50k
154,CoreyParton@gmail.com,40,Bachelors,Married-civ-spouse,Male,>50k
155,JanisGarcia@gmail.com,25,Some-college,Never-married,Female,<=50k
156,WalterIm@gmail.com,26,HS-grad,Never-married,Male,<=50k
157,LorenToole@gmail.com,22,Bachelors,Never-married,Male,<=50k
158,MaribelWilliams@gmail.com,42,Some-college,Never-married,Female,<=50k
159,JamesFulks@gmail.com,38,Bachelors,Divorced,Male,<=50k
160,MichaelShakespeare@gmail.com,55,11th,Married-civ-spouse,Male,<=50k
161,JosephSlauson@gmail.com,32,HS-grad,Married-civ-spouse,Male,<=50k
162,DennisSmith@gmail.com,22,HS-grad,Married-civ-spouse,Male,<=50k
163,ClarenceFuston@gmail.com,29,Bachelors,Never-married,Male,<=50k
164,DanielJames@gmail.com,46,Masters,Married-civ-spouse,Male,>50k
165,VitoBeltran@gmail.com,31,Some-college,Married-civ-spouse,Male,>50k
166,BryanMccallion@gmail.com,58,Doctorate,Married-civ-spouse,Male,>50k
167,StevenHatch@gmail.com,42,HS-grad,Married-civ-spouse,Male,<=50k
168,StuartSnowden@gmail.com,18,HS-grad,Never-married,Male,<=50k
169,StephenKing@gmail.com,58,HS-grad,Divorced,Male,<=50k
170,JamesGunter@gmail.com,54,HS-grad,Married-civ-spouse,Male,>50k
171,KevinOdaniel@gmail.com,34,Masters,Never-married,Male,<=50k
172,ValerieGerman@gmail.com,26,Bachelors,Never-married,Female,<=50k
173,WalterFlower@gmail.com,61,12th,Married-civ-spouse,Male,<=50k
174,ElizabethRichmond@gmail.com,48,Masters,Separated,Female,<=50k
175,GlennJohnson@gmail.com,36,Some-college,Married-civ-spouse,Male,>50k
176,MarkGerlach@gmail.com,24,Assoc-voc,Married-civ-spouse,Male,<=50k
177,NathanielOverby@gmail.com,40,Some-college,Married-civ-spouse,Male,<=50k
178,JoshuaSands@gmail.com,33,HS-grad,Married-civ-spouse,Male,>50k
179,JackHamelin@gmail.com,37,Some-college,Married-civ-spouse,Male,>50k
180,RobertRumpf@gmail.com,34,Masters,Never-married,Male,<=50k
181,WilliamChavez@gmail.com,56,Some-college,Married-civ-spouse,Male,>50k
183,VickiePeters@gmail.com,37,Bachelors,Widowed,Female,<=50k
184,AntoniaPeacock@gmail.com,44,HS-grad,Divorced,Female,<=50k
186,NicholasManning@gmail.com,54,HS-grad,Divorced,Male,<=50k
187,AntonioMora@gmail.com,23,HS-grad,Never-married,Male,<=50k
189,CherieGrisham@gmail.com,22,HS-grad,Never-married,Female,<=50k
190,DavidArmstrong@gmail.com,33,Bachelors,Married-civ-spouse,Male,>50k
191,JeremyYoder@gmail.com,39,Bachelors,Separated,Male,>50k
192,CrystalPutnam@gmail.com,47,Some-college,Divorced,Female,<=50k
194,AuroraWilliams@gmail.com,26,HS-grad,Never-married,Female,<=50k
195,BrendaJohnson@gmail.com,31,Some-college,Divorced,Female,<=50k
196,JoesphButler@gmail.com,44,Some-college,Never-married,Male,<=50k
197,GloriaOlson@gmail.com,42,Prof-school,Married-civ-spouse,Female,>50k
198,IreneYarmitsky@gmail.com,19,HS-grad,Never-married,Female,<=50k
199,DanielDoucet@gmail.com,27,HS-grad,Married-civ-spouse,Male,>50k
200,RaymondWilliams@gmail.com,51,Some-college,Married-civ-spouse,Male,>50k
201,JohnBurgess@gmail.com,28,Bachelors,Married-civ-spouse,Male,<=50k
202,ReginaldConley@gmail.com,57,Bachelors,Divorced,Male,<=50k
203,MabelAvila@gmail.com,45,Bachelors,Divorced,Female,<=50k
204,YoungVazquez@gmail.com,50,Assoc-voc,Married-civ-spouse,Male,>50k
205,MathewNelson@gmail.com,34,Bachelors,Married-civ-spouse,Male,<=50k
206,CharlesRomano@gmail.com,45,7th-8th,Married-civ-spouse,Male,<=50k
207,AaronFrazier@gmail.com,73,HS-grad,Married-civ-spouse,Male,<=50k
208,PamelaVowell@gmail.com,34,Bachelors,Married-civ-spouse,Female,>50k
209,GabrielChapman@gmail.com,31,Some-college,Married-civ-spouse,Male,>50k
210,LeslieRock@gmail.com,19,11th,Never-married,Male,<=50k
211,KimberlySpikes@gmail.com,25,Some-college,Never-married,Female,<=50k
212,EmmaAdkins@gmail.com,38,Assoc-voc,Divorced,Female,<=50k
213,AntonioSeto@gmail.com,39,Bachelors,Married-civ-spouse,Male,<=50k
214,ElinorPiechoski@gmail.com,23,Bachelors,Never-married,Female,<=50k
215,WilliamDavis@gmail.com,49,HS-grad,Married-civ-spouse,Male,<=50k
216,AaronRutledge@gmail.com,33,HS-grad,Never-married,Male,<=50k
217,StuartSpector@gmail.com,21,5th-6th,Never-married,Male,<=50k
218,RyanHatfield@gmail.com,31,Assoc-voc,Separated,Male,<=50k
219,MarthaCramer@gmail.com,23,Bachelors,Never-married,Female,<=50k
220,JeffreyPierce@gmail.com,34,Bachelors,Married-civ-spouse,Male,<=50k
221,IrmaKitchen@gmail.com,25,HS-grad,Never-married,Female,<=50k
222,SergioMiner@gmail.com,39,HS-grad,Never-married,Male,<=50k
223,MichaelVoorhees@gmail.com,52,HS-grad,Married-civ-spouse,Male,>50k
224,TimothyMcbrayer@gmail.com,63,9th,Married-civ-spouse,Male,>50k
225,GaryConners@gmail.com,41,Some-college,Married-civ-spouse,Male,<=50k
226,ScottCannon@gmail.com,46,Bachelors,Married-civ-spouse,Male,>50k
227,EdwardAcosta@gmail.com,53,HS-grad,Married-civ-spouse,Male,<=50k
230,WilliamSpencer@gmail.com,18,12th,Never-married,Male,<=50k
231,RobertLloyd@gmail.com,38,Prof-school,Married-civ-spouse,Male,<=50k
232,LydiaGonzalez@gmail.com,55,Masters,Never-married,Female,<=50k
233,WilliamDamico@gmail.com,34,HS-grad,Married-civ-spouse,Male,>50k
234,TimothyKirchner@gmail.com,80,HS-grad,Married-civ-spouse,Male,<=50k
235,MarlysStaley@gmail.com,34,Assoc-voc,Divorced,Female,<=50k
236,HarryStanley@gmail.com,52,Some-college,Married-civ-spouse,Male,<=50k
237,AliciaJohnson@gmail.com,42,HS-grad,Never-married,Female,<=50k
238,GinaAlexander@gmail.com,26,Some-college,Never-married,Female,<=50k
239,JohnCrosby@gmail.com,31,HS-grad,Married-civ-spouse,Male,<=50k
240,AileenGaskins@gmail.com,25,HS-grad,Never-married,Female,<=50k
241,RyanPfeiff@gmail.com,55,HS-grad,Married-civ-spouse,Male,<=50k
242,ShaeJackson@gmail.com,19,Some-college,Never-married,Female,<=50k
243,GordonVang@gmail.com,62,Some-college,Married-civ-spouse,Male,<=50k
244,StellaRemaley@gmail.com,22,Some-college,Never-married,Female,<=50k
246,JamesKostrzewa@gmail.com,35,HS-grad,Married-civ-spouse,Male,<=50k
247,MichelePhillips@gmail.com,28,HS-grad,Married-civ-spouse,Female,<=50k
248,RogerEdens@gmail.com,47,HS-grad,Married-civ-spouse,Male,>50k
249,ChesterLowe@gmail.com,44,HS-grad,Married-civ-spouse,Male,<=50k
250,RickeyPage@gmail.com,21,Some-college,Never-married,Male,<=50k
251,GeorgeHenline@gmail.com,35,Assoc-voc,Never-married,Male,<=50k
252,CharlesBertsch@gmail.com,24,Bachelors,Married-civ-spouse,Male,>50k
254,EdwardSmith@gmail.com,28,Bachelors,Never-married,Male,<=50k
255,HoraceSorenson@gmail.com,21,Some-college,Never-married,Male,<=50k
256,EdwardThomas@gmail.com,62,Some-college,Divorced,Male,<=50k
257,VictoriaGranados@gmail.com,39,HS-grad,Never-married,Female,<=50k
258,DanielClay@gmail.com,30,HS-grad,Never-married,Male,<=50k
259,RomanMccool@gmail.com,72,Prof-school,Never-married,Male,<=50k
260,BrennaLavigne@gmail.com,50,Some-college,Married-civ-spouse,Female,<=50k
261,AnthonyAskew@gmail.com,28,Masters,Never-married,Male,<=50k
262,JudyMaynard@gmail.com,29,Some-college,Never-married,Female,<=50k
263,AuroraLineberger@gmail.com,26,Bachelors,Never-married,Female,<=50k
264,DeborahPellegrin@gmail.com,27,Masters,Never-married,Female,<=50k
265,AnthonyWilliams@gmail.com,29,Some-college,Married-civ-spouse,Male,>50k
267,ClydeBielecki@gmail.com,29,10th,Married-civ-spouse,Male,<=50k
269,BeatriceBonner@gmail.com,31,11th,Married-civ-spouse,Female,<=50k
270,FrederickBishop@gmail.com,25,HS-grad,Married-civ-spouse,Male,<=50k
271,KennethAlves@gmail.com,58,10th,Married-civ-spouse,Male,>50k
272,StaceyMadison@gmail.com,64,Some-college,Married-civ-spouse,Female,>50k
273,JoshuaBenge@gmail.com,46,Masters,Never-married,Male,<=50k
275,JeanetteHorning@gmail.com,19,HS-grad,Never-married,Female,<=50k
276,TylerNace@gmail.com,42,HS-grad,Divorced,Male,<=50k
277,JamesHaist@gmail.com,18,11th,Never-married,Male,<=50k
278,StephenDaniel@gmail.com,58,Bachelors,Married-civ-spouse,Male,>50k
279,ShaneSwick@gmail.com,20,Some-college,Never-married,Male,<=50k
280,AaronVangieson@gmail.com,35,HS-grad,Married-civ-spouse,Male,>50k
281,CharlesBurt@gmail.com,32,HS-grad,Married-civ-spouse,Male,>50k
282,CharlotteGibson@gmail.com,23,HS-grad,Never-married,Female,<=50k
283,JaniceAschenbrenner@gmail.com,31,Some-college,Divorced,Female,<=50k
284,RussellMarquez@gmail.com,33,Bachelors,Married-civ-spouse,Male,<=50k
285,NadiaGardner@gmail.com,41,Some-college,Never-married,Female,<=50k
286,CharlesSkrebes@gmail.com,22,HS-grad,Never-married,Male,<=50k
287,RobertGardner@gmail.com,46,Some-college,Married-civ-spouse,Male,>50k
288,HarryKelson@gmail.com,61,Some-college,Married-civ-spouse,Male,<=50k
289,JamesBlanton@gmail.com,30,HS-grad,Never-married,Male,<=50k
290,JeraldJohnson@gmail.com,42,HS-grad,Married-civ-spouse,Male,>50k
291,RockyOtten@gmail.com,63,10th,Married-civ-spouse,Male,<=50k
292,JamesWelter@gmail.com,26,Some-college,Married-civ-spouse,Male,<=50k
293,CharoletteJones@gmail.com,42,10th,Divorced,Female,<=50k
294,AbelDunham@gmail.com,23,Some-college,Married-civ-spouse,Male,<=50k
295,MarkSlater@gmail.com,25,HS-grad,Never-married,Male,<=50k
296,BernardMorales@gmail.com,30,9th,Married-civ-spouse,Male,>50k
297,RoyDodds@gmail.com,23,HS-grad,Never-married,Male,<=50k
298,JosephHenson@gmail.com,34,Assoc-voc,Never-married,Male,>50k
299,JohnTuttle@gmail.com,30,HS-grad,Married-civ-spouse,Male,<=50k
300,RayJacobs@gmail.com,39,Some-college,Married-civ-spouse,Male,>50k
301,JerryLindsay@gmail.com,30,11th,Never-married,Male,<=50k
302,RosaGreen@gmail.com,38,Some-college,Divorced,Female,<=50k
303,SandraNordhoff@gmail.com,26,HS-grad,Divorced,Female,<=50k
304,BillThompson@gmail.com,20,Some-college,Never-married,Male,<=50k
306,LenaWhitney@gmail.com,33,HS-grad,Married-civ-spouse,Female,<=50k
307,EdwardColes@gmail.com,24,Bachelors,Never-married,Male,<=50k
308,JackCoffman@gmail.com,42,Bachelors,Married-civ-spouse,Male,>50k
309,CharlesBell@gmail.com,51,HS-grad,Married-civ-spouse,Male,<=50k
310,DouglasCreekmore@gmail.com,56,Assoc-acdm,Married-civ-spouse,Male,>50k
311,VincentLivingston@gmail.com,22,Some-college,Never-married,Male,<=50k
312,FrankSpies@gmail.com,52,Some-college,Married-civ-spouse,Male,<=50k
313,TeresaNaquin@gmail.com,44,Bachelors,Divorced,Female,>50k
314,MariaKelly@gmail.com,34,HS-grad,Married-civ-spouse,Female,<=50k
315,WayneBenware@gmail.com,51,Some-college,Divorced,Male,>50k
317,RoslynAsberry@gmail.com,19,Some-college,Never-married,Female,<=50k
318,CharlesOun@gmail.com,37,Bachelors,Married-civ-spouse,Male,>50k
319,CliffPreston@gmail.com,68,HS-grad,Married-civ-spouse,Male,>50k
320,DavidBaker@gmail.com,22,Some-college,Divorced,Male,<=50k
321,CharlesIngram@gmail.com,56,Bachelors,Married-civ-spouse,Male,<=50k
322,GeorgeBuchan@gmail.com,37,HS-grad,Married-civ-spouse,Male,<=50k
323,EdwardKennedy@gmail.com,52,1st-4th,Married-civ-spouse,Male,<=50k
324,JorgeKingery@gmail.com,26,HS-grad,Separated,Male,<=50k
325,DavidTuggle@gmail.com,33,Masters,Married-civ-spouse,Male,<=50k
326,AmparoEmerick@gmail.com,45,Masters,Divorced,Female,<=50k
327,BenjaminBrewster@gmail.com,18,11th,Never-married,Male,<=50k
328,AhmadPreuss@gmail.com,43,Some-college,Married-civ-spouse,Male,>50k
330,ChristopherWilson@gmail.com,18,HS-grad,Never-married,Male,<=50k
332,VincentDillon@gmail.com,57,HS-grad,Married-civ-spouse,Male,>50k
333,FreidaCifuentes@gmail.com,41,HS-grad,Divorced,Female,<=50k
334,RoyKeefe@gmail.com,34,Masters,Married-civ-spouse,Male,>50k
335,DamarisMccoy@gmail.com,19,HS-grad,Never-married,Female,<=50k
336,MaryNuttall@gmail.com,44,9th,Divorced,Female,<=50k
337,KaraPeron@gmail.com,56,10th,Widowed,Female,<=50k
338,StevenSmith@gmail.com,36,HS-grad,Married-civ-spouse,Male,<=50k
339,DianeWhite@gmail.com,48,Bachelors,Divorced,Female,<=50k
340,StephenGarland@gmail.com,29,HS-grad,Married-civ-spouse,Male,>50k
341,TravisAdler@gmail.com,33,Bachelors,Never-married,Male,<=50k
342,ThomasSpurlock@gmail.com,31,5th-6th,Married-civ-spouse,Male,<=50k
343,JamesBlankenship@gmail.com,39,Masters,Married-civ-spouse,Male,>50k
344,AnthonyBrooks@gmail.com,66,HS-grad,Married-civ-spouse,Male,>50k
345,ElizabethCook@gmail.com,27,Bachelors,Never-married,Female,>50k
346,VioletVazquez@gmail.com,39,HS-grad,Divorced,Female,>50k
347,DavidRay@gmail.com,59,7th-8th,Married-civ-spouse,Male,>50k
348,MabelDowden@gmail.com,26,HS-grad,Never-married,Female,<=50k
349,DavidBouchard@gmail.com,31,Assoc-voc,Divorced,Male,<=50k
351,CharlesStokes@gmail.com,23,HS-grad,Never-married,Male,<=50k
352,ArleneCostanzo@gmail.com,36,HS-grad,Divorced,Female,<=50k
353,MirandaLogie@gmail.com,34,Some-college,Married-civ-spouse,Female,>50k
354,CraigTracy@gmail.com,32,HS-grad,Married-civ-spouse,Male,>50k
355,WilliamMcvey@gmail.com,37,Bachelors,Married-civ-spouse,Male,>50k
356,DavidKepler@gmail.com,33,Bachelors,Never-married,Male,<=50k
357,EdwardZook@gmail.com,50,Prof-school,Married-civ-spouse,Male,>50k
358,BrandonHarvey@gmail.com,32,Assoc-acdm,Never-married,Male,<=50k
359,SandraLeigh@gmail.com,35,Bachelors,Never-married,Female,<=50k
360,LewisWestlake@gmail.com,37,11th,Married-civ-spouse,Male,<=50k
361,ScottJackson@gmail.com,44,Some-college,Divorced,Male,<=50k
362,LanceEggert@gmail.com,57,Some-college,Divorced,Male,<=50k
363,CarolynOstroski@gmail.com,29,Some-college,Married-civ-spouse,Female,<=50k
364,KurtFelton@gmail.com,55,HS-grad,Married-civ-spouse,Male,>50k
365,ChristopherWentzel@gmail.com,43,Prof-school,Married-civ-spouse,Male,>50k
366,PeterStiggers@gmail.com,43,Some-college,Married-civ-spouse,Male,<=50k
367,JonMartin@gmail.com,45,Some-college,Married-civ-spouse,Male,>50k
368,IrisJohnson@gmail.com,33,Masters,Married-civ-spouse,Female,<=50k
369,JanetMartin@gmail.com,26,10th,Divorced,Female,<=50k
370,AlexanderRoyal@gmail.com,23,Some-college,Married-civ-spouse,Male,<=50k
371,MarcosSiegfried@gmail.com,41,7th-8th,Separated,Male,<=50k
372,JustinHubbard@gmail.com,24,HS-grad,Married-civ-spouse,Male,<=50k
373,WalterHarris@gmail.com,47,Bachelors,Married-civ-spouse,Male,<=50k
374,MarkBerglund@gmail.com,34,HS-grad,Never-married,Male,<=50k
375,AdamByrd@gmail.com,40,HS-grad,Married-civ-spouse,Male,>50k
376,VickiSanders@gmail.com,28,Bachelors,Married-civ-spouse,Female,<=50k
377,JoyBartlett@gmail.com,24,HS-grad,Never-married,Female,<=50k
379,DonaldZahar@gmail.com,23,HS-grad,Never-married,Male,<=50k
380,IsaacSargent@gmail.com,43,HS-grad,Married-civ-spouse,Male,>50k
381,KayCreel@gmail.com,26,Bachelors,Divorced,Female,<=50k
382,AmyRipp@gmail.com,58,Doctorate,Married-AF-spouse,Female,>50k
383,SusanGilbert@gmail.com,52,HS-grad,Widowed,Female,<=50k
384,FranciscoPace@gmail.com,29,11th,Married-civ-spouse,Male,>50k
385,EdwardEubanks@gmail.com,47,11th,Married-civ-spouse,Male,<=50k
386,LynnJordan@gmail.com,49,HS-grad,Divorced,Female,<=50k
387,SheriLane@gmail.com,40,11th,Widowed,Female,<=50k
388,JeanBurke@gmail.com,62,HS-grad,Married-civ-spouse,Female,<=50k
389,HaroldAllen@gmail.com,49,HS-grad,Married-civ-spouse,Male,>50k
390,MariaReed@gmail.com,50,Bachelors,Divorced,Female,>50k
